iter	MultiRMSE
0	6.582401971
1	6.566999234
2	6.551615347
3	6.512672115
4	6.480049817
5	6.46491375
6	6.442755519
7	6.366116076
8	6.361859247
9	6.355057597
10	6.329749079
11	6.323583792
12	6.313927691
13	6.279348899
14	6.274096698
15	6.260193958
16	6.233324374
17	6.209530132
18	6.198540106
19	6.197137136
20	6.186661709
21	6.178504545
22	6.157580046
23	6.148379314
24	6.140390368
25	6.132204349
26	6.122418456
27	6.099053898
28	6.086940702
29	6.072132511
30	6.058103537
31	6.028041153
32	5.99530549
33	5.971481948
34	5.971282406
35	5.944477151
36	5.924951016
37	5.919977848
38	5.868297311
39	5.857788029
40	5.850535231
41	5.828550732
42	5.823449701
43	5.81898718
44	5.789224189
45	5.785424945
46	5.768046376
47	5.764342527
48	5.758098694
49	5.743643513
50	5.730909417
51	5.704340802
52	5.697214354
53	5.690481243
54	5.683933505
55	5.670983621
56	5.667220228
57	5.645462221
58	5.640954401
59	5.63804377
60	5.629795156
61	5.610128017
62	5.603503242
63	5.596541793
64	5.588901921
65	5.57718017
66	5.552576318
67	5.534497602
68	5.530835485
69	5.504027346
70	5.480456045
71	5.460883469
72	5.455655884
73	5.448621411
74	5.439382874
75	5.435260413
76	5.416944271
77	5.409352628
78	5.4052717
79	5.390250655
80	5.381836139
81	5.376652922
82	5.370550175
83	5.365826219
84	5.360038374
85	5.353406883
86	5.348489501
87	5.343756787
88	5.33677363
89	5.329961488
90	5.320494376
91	5.315599062
92	5.302409816
93	5.29492869
94	5.289034605
95	5.271547226
96	5.267812271
97	5.2618117
98	5.249810242
99	5.243136349
100	5.231828896
101	5.198117375
102	5.184226013
103	5.179536544
104	5.171555951
105	5.146413736
