iter	Passed	Remaining
0	6	6044
1	10	5291
2	15	5032
3	20	4992
4	24	4935
5	29	4864
6	34	4836
7	39	4849
8	41	4565
9	45	4537
10	50	4553
11	55	4585
12	60	4566
13	64	4546
14	69	4581
15	74	4579
16	78	4563
17	83	4565
18	88	4572
19	89	4378
20	93	4376
21	98	4378
22	103	4395
23	107	4390
24	112	4385
25	117	4386
26	121	4383
27	126	4380
28	130	4375
29	135	4378
30	139	4373
31	144	4366
32	149	4369
33	154	4375
34	154	4270
35	159	4266
36	163	4262
37	168	4277
38	174	4301
39	179	4305
40	184	4310
41	189	4329
42	194	4324
43	198	4321
44	204	4335
45	208	4330
46	213	4325
47	218	4326
48	222	4326
49	227	4324
50	232	4324
51	237	4328
52	241	4323
53	246	4315
54	251	4315
55	255	4309
56	260	4302
57	264	4299
58	269	4294
59	273	4288
60	278	4281
61	282	4280
62	287	4277
63	292	4270
64	296	4263
65	301	4262
66	305	4256
67	310	4250
68	314	4249
69	319	4244
70	323	4238
71	328	4234
72	333	4229
73	337	4224
74	339	4193
75	344	4189
76	349	4190
77	354	4186
78	358	4180
79	363	4177
80	367	4172
81	372	4167
82	376	4162
83	381	4164
84	386	4161
85	391	4157
86	395	4153
87	400	4150
88	405	4146
89	409	4143
90	414	4142
91	419	4137
92	423	4131
93	428	4128
94	433	4126
95	437	4122
96	442	4117
97	447	4115
98	452	4114
99	456	4110
100	461	4106
101	466	4103
102	470	4099
103	475	4093
104	480	4093
105	485	4093
